time,ax,ay,az,gx,gy,gz,label,person
1772890010.398463,-0.955322265625,-0.2119140625,-0.15087890625,-0.9765624403953552,-0.1831054538488388,0.4882812201976776,4,dennis
1772890010.4473574,-0.945556640625,-0.2197265625,-0.154541015625,-1.8310545682907104,-0.3662109076976776,0.1220703050494194,4,dennis
1772890010.5214446,-0.935546875,-0.215087890625,-0.14697265625,-1.7700194120407104,-0.54931640625,0.1220703050494194,4,dennis
1772890010.5214446,-0.957763671875,-0.214599609375,-0.150146484375,-2.563476324081421,-0.2441406100988388,1.4038084745407104,4,dennis
1772890010.6059403,-0.982421875,-0.2198486328125,-0.156982421875,-2.624511480331421,0.30517578125,2.50244140625,4,dennis
1772890010.6386943,-0.9857177734375,-0.2115478515625,-0.155517578125,0.1220703050494194,0.3662109076976776,2.38037109375,4,dennis
1772890010.6386943,-0.967041015625,-0.2200927734375,-0.142578125,1.4038084745407104,0.1220703050494194,1.4038084745407104,4,dennis
1772890010.6552734,-0.9483642578125,-0.225830078125,-0.1583251953125,2.01416015625,0.2441406100988388,0.6103515625,4,dennis
1772890010.6967163,-0.9520263671875,-0.2196044921875,-0.144775390625,0.4882812201976776,0.2441406100988388,-0.8544921278953552,4,dennis
1772890010.73112,-0.94775390625,-0.218994140625,-0.147705078125,-0.6103515625,-0.6103515625,-0.6713866591453552,4,dennis
1772890010.7841823,-0.93310546875,-0.218017578125,-0.150390625,-2.0751953125,-0.7324218153953552,-0.4882812201976776,4,dennis
1772890010.8501608,-0.9228515625,-0.20947265625,-0.149169921875,-1.2817381620407104,-0.1831054538488388,-0.54931640625,4,dennis
1772890010.8805888,-0.904296875,-0.2120361328125,-0.1519775390625,0.54931640625,0.1220703050494194,-0.30517578125,4,dennis
1772890010.8956182,-0.87109375,-0.197265625,-0.1500244140625,1.9531248807907104,-0.30517578125,0.7934569716453552,4,dennis
1772890010.951487,-0.8907470703125,-0.21875,-0.1640625,2.807616949081421,0.1220703050494194,1.4648436307907104,4,dennis
1772890011.0145822,-0.9112548828125,-0.2071533203125,-0.156494140625,3.967284917831421,0.2441406100988388,0.6713866591453552,4,dennis
1772890011.0322697,-0.9676513671875,-0.2120361328125,-0.148681640625,3.173827886581421,-0.3662109076976776,1.3427733182907104,4,dennis
1772890011.047003,-1.045654296875,-0.2333984375,-0.197265625,-0.3662109076976776,-0.1220703050494194,-0.2441406100988388,4,dennis
1772890011.1522472,-1.059814453125,-0.20703125,-0.162353515625,2.685546636581421,-0.7934569716453552,-2.746581792831421,4,dennis
1772890011.2063107,-1.0478515625,-0.2283935546875,-0.17578125,3.234863042831421,-2.197265625,-1.2817381620407104,4,dennis
1772890011.2063107,-0.9874267578125,-0.2060546875,-0.151611328125,2.746581792831421,-3.601073980331421,1.5869139432907104,4,dennis
1772890011.2257254,-0.933349609375,-0.22265625,-0.14697265625,0.4272460639476776,-2.746581792831421,2.807616949081421,4,dennis
1772890011.240082,-0.90234375,-0.2060546875,-0.1575927734375,1.6479490995407104,-1.9531248807907104,3.295898199081421,4,dennis
1772890011.286805,-0.9410400390625,-0.22314453125,-0.1412353515625,0.4272460639476776,-0.1220703050494194,2.929687261581421,4,dennis
1772890011.3321383,-1.11474609375,-0.201171875,-0.1531982421875,-0.1220703050494194,0.4272460639476776,3.479003667831421,4,dennis
1772890011.345119,-1.3594970703125,-0.1580810546875,-0.1982421875,-1.6479490995407104,-1.6479490995407104,12.512206077575684,4,dennis
1772890011.3877025,-1.6436767578125,-0.1483154296875,-0.2705078125,-12.145995140075684,-10.070799827575684,26.977537155151367,4,dennis
