time,ax,ay,az,gx,gy,gz,label,person
1772897651.2735004,0.9329833984375,0.1707763671875,0.390625,5.310058116912842,-0.30517578125,-7.934569835662842,1,henrik
1772897651.2988472,0.9658203125,0.1336669921875,0.42333984375,4.21142578125,-3.784179449081421,-2.01416015625,1,henrik
1772897651.3448708,0.954833984375,0.14453125,0.4254150390625,-1.9531248807907104,-6.225585460662842,-4.2724609375,1,henrik
1772897651.404093,0.9482421875,0.1544189453125,0.4376220703125,-6.591796398162842,-8.11767578125,-2.3193359375,1,henrik
1772897651.4517288,0.9539794921875,0.169189453125,0.3941650390625,-3.112792730331421,-6.774901866912842,-0.1831054538488388,1,henrik
1772897651.4659674,0.9439697265625,0.1700439453125,0.3935546875,1.6479490995407104,-3.967284917831421,2.25830078125,1,henrik
1772897651.4947364,0.923828125,0.14794921875,0.3800048828125,-2.25830078125,-2.807616949081421,3.967284917831421,1,henrik
1772897651.5249662,0.8953857421875,0.146484375,0.3912353515625,-0.4272460639476776,-1.0986328125,1.4038084745407104,1,henrik
1772897651.5690274,0.90625,0.1341552734375,0.384521484375,-2.0751953125,-1.220703125,1.5869139432907104,1,henrik
1772897651.5960233,0.9002685546875,0.1380615234375,0.4033203125,1.5869139432907104,1.4038084745407104,0.1220703050494194,1,henrik
1772897651.676603,0.9127197265625,0.148681640625,0.420166015625,-5.371093273162842,0.8544921278953552,2.44140625,1,henrik
1772897651.676603,0.9371337890625,0.1763916015625,0.4061279296875,-2.868652105331421,2.746581792831421,0.4882812201976776,1,henrik
1772897651.7175593,0.9390869140625,0.1778564453125,0.4169921875,-2.990722417831421,2.807616949081421,2.25830078125,1,henrik
1772897651.7453208,0.9530029296875,0.175537109375,0.435302734375,-3.662109136581421,5.065917491912842,0.4882812201976776,1,henrik
1772897651.8267894,0.9566650390625,0.1810302734375,0.4217529296875,-7.873534679412842,5.615233898162842,4.69970703125,1,henrik
1772897651.854,0.9757080078125,0.1805419921875,0.4144287109375,-6.164550304412842,9.58251953125,5.798339366912842,1,henrik
1772897651.8851717,0.9776611328125,0.208984375,0.39306640625,6.591796398162842,14.343260765075684,8.7890625,1,henrik
1772897651.9136543,1.05224609375,0.206298828125,0.4227294921875,4.33349609375,17.08984375,12.878417015075684,1,henrik
1772897651.94398,1.09423828125,0.22314453125,0.4017333984375,0.3662109076976776,22.949216842651367,21.118162155151367,1,henrik
