aX,aY,aZ,gX,gY,gZ
-0.947998046875,-1.05029296875,-0.6033935546875,83.80126190185547,-101.98973846435547,126.52587127685547
-1.039306640625,-1.0819091796875,-0.611328125,51.635738372802734,-139.7705078125,169.00633239746094
-1.0875244140625,-1.078125,-0.745849609375,30.334470748901367,-184.20408630371094,196.83836364746094
-1.0264892578125,-1.00732421875,-0.713623046875,20.080564498901367,-208.98435974121094,215.20994567871094
-0.8802490234375,-1.0018310546875,-0.7005615234375,15.319823265075684,-223.38865661621094,229.49217224121094
-0.669921875,-0.8360595703125,-0.541015625,6.958007335662842,-231.20115661621094,225.52488708496094
-0.443359375,-0.7813720703125,-0.5654296875,-1.3427733182907104,-226.01316833496094,212.76853942871094
-0.25341796875,-0.6177978515625,-0.378173828125,-8.9111328125,-208.06883239746094,191.46726989746094
-0.0283203125,-0.546142578125,-0.4068603515625,6.408690929412842,-189.39207458496094,169.86082458496094
0.088134765625,-0.4466552734375,-0.2279052734375,16.9677734375,-166.93113708496094,141.66259765625
0.2503662109375,-0.4822998046875,-0.236328125,36.865234375,-152.64892578125,126.46483612060547
0.38232421875,-0.4443359375,-0.1265869140625,38.6962890625,-134.09423828125,102.47801971435547
0.5150146484375,-0.456298828125,-0.095947265625,40.710445404052734,-115.84471893310547,85.08300018310547
0.6370849609375,-0.4185791015625,-0.0145263671875,25.451658248901367,-92.46825408935547,68.115234375
0.739990234375,-0.39404296875,0.078857421875,15.624999046325684,-72.6318359375,51.635738372802734
0.820068359375,-0.3892822265625,0.1217041015625,14.282225608825684,-49.194332122802734,37.2314453125
0.869384765625,-0.354736328125,0.13232421875,8.6669921875,-28.381345748901367,23.071287155151367
0.8885498046875,-0.3814697265625,0.1341552734375,2.807616949081421,-10.437010765075684,11.596678733825684
0.9019775390625,-0.3870849609375,0.0335693359375,-9.1552734375,1.0986328125,6.408690929412842
0.89697265625,-0.39306640625,-0.025146484375,-12.390135765075684,5.493163585662842,2.990722417831421
0.903564453125,-0.373046875,-0.0560302734375,-12.756346702575684,4.2724609375,0.9155272841453552
0.9158935546875,-0.3770751953125,-0.082763671875,-8.11767578125,2.0751953125,1.4038084745407104
0.9130859375,-0.3734130859375,-0.0419921875,-2.197265625,0.9155272841453552,0.4882812201976776
0.9188232421875,-0.3975830078125,-0.068115234375,1.4038084745407104,0.7324218153953552,0.7934569716453552
0.923828125,-0.3944091796875,-0.0391845703125,0.8544921278953552,-0.1831054538488388,0.9155272841453552
0.9080810546875,-0.3890380859375,-0.0302734375,-4.2724609375,0.9155272841453552,0.6103515625
0.9039306640625,-0.37158203125,-0.059814453125,-5.310058116912842,1.4038084745407104,-0.3662109076976776
0.889404296875,-0.3450927734375,-0.0045166015625,-3.051757574081421,6.286620616912842,-2.624511480331421
0.8572998046875,-0.341796875,-0.023193359375,1.4648436307907104,14.465331077575684,-8.30078125
0.82373046875,-0.332275390625,0.0177001953125,5.187987804412842,24.291990280151367,-17.7001953125
0.805908203125,-0.3355712890625,0.0257568359375,4.82177734375,37.2314453125,-26.672361373901367
0.804443359375,-0.3408203125,-0.00830078125,-1.8310545682907104,53.588863372802734,-37.41455078125
0.768798828125,-0.3917236328125,-0.06884765625,-8.30078125,67.68798828125,-48.339839935302734
0.7257080078125,-0.34423828125,0.022216796875,-7.385253429412842,84.89989471435547,-62.499996185302734
0.6678466796875,-0.44482421875,-0.158935546875,-10.498045921325684,101.74559783935547,-77.69775390625
0.6141357421875,-0.48095703125,-0.1881103515625,-7.568358898162842,111.02294158935547,-88.25682830810547
0.522705078125,-0.496337890625,-0.164794921875,-4.2724609375,130.92041015625,-97.41210174560547
0.4488525390625,-0.665283203125,-0.503662109375,-13.916014671325684,132.080078125,-101.56249237060547
