1772889620.9390173,-0.8369140625,-0.4825439453125,-0.2740478515625,-0.9765624403953552,0.4272460639476776,-0.1831054538488388,2,dennis
1772889621.0147347,-0.8350830078125,-0.4793701171875,-0.271484375,-0.54931640625,0.0,0.30517578125,2,dennis
1772889621.0439222,-0.83447265625,-0.485107421875,-0.2752685546875,0.0610351525247097,-0.1831054538488388,0.1831054538488388,2,dennis
1772889621.0609438,-0.8355712890625,-0.4808349609375,-0.275634765625,1.0986328125,-0.30517578125,0.4882812201976776,2,dennis
1772889621.1045513,-0.83203125,-0.4853515625,-0.27001953125,-0.0610351525247097,-0.0610351525247097,0.30517578125,2,dennis
1772889621.1318424,-0.8275146484375,-0.4844970703125,-0.2752685546875,-0.6713866591453552,0.2441406100988388,0.1220703050494194,2,dennis
1772889621.2115438,-0.827392578125,-0.4854736328125,-0.2696533203125,-0.4882812201976776,0.0610351525247097,0.1220703050494194,2,dennis
1772889621.222073,-0.830078125,-0.484375,-0.2779541015625,1.4038084745407104,0.54931640625,0.1831054538488388,2,dennis
1772889621.284479,-0.8372802734375,-0.48095703125,-0.27734375,0.9765624403953552,0.4882812201976776,0.1220703050494194,2,dennis
1772889621.2864854,-0.83837890625,-0.48193359375,-0.2730712890625,1.5869139432907104,0.2441406100988388,0.4882812201976776,2,dennis
1772889621.3311899,-0.833251953125,-0.4844970703125,-0.2762451171875,1.3427733182907104,-0.4272460639476776,0.4272460639476776,2,dennis
1772889621.3764474,-0.829833984375,-0.482666015625,-0.27685546875,1.03759765625,-0.30517578125,0.1220703050494194,2,dennis
1772889621.4213746,-0.8258056640625,-0.478515625,-0.2816162109375,-0.1220703050494194,-0.1831054538488388,-0.30517578125,2,dennis
1772889621.479722,-0.825927734375,-0.4805908203125,-0.2857666015625,0.0610351525247097,0.1220703050494194,-0.7934569716453552,2,dennis
1772889621.5119147,-0.8309326171875,-0.4915771484375,-0.3138427734375,0.54931640625,-1.5258787870407104,-1.4648436307907104,2,dennis
1772889621.5386736,-0.8409423828125,-0.531982421875,-0.3753662109375,3.601073980331421,-12.634276390075684,0.2441406100988388,2,dennis
