aX,aY,aZ,gX,gY,gZ
-1.0294189453125,-0.976318359375,-0.652587890625,48.339839935302734,-142.578125,188.29344177246094
-1.0416259765625,-1.0418701171875,-0.765380859375,49.987789154052734,-168.64012145996094,208.61814880371094
-1.0504150390625,-1.01123046875,-0.759033203125,54.504390716552734,-182.98338317871094,220.27586364746094
-0.8946533203125,-0.9058837890625,-0.611328125,58.593746185302734,-197.93699645996094,231.44529724121094
-0.547119140625,-0.8851318359375,-0.665283203125,49.377437591552734,-203.24705505371094,226.98973083496094
-0.4210205078125,-0.8699951171875,-0.6512451171875,38.2080078125,-212.40232849121094,220.64207458496094
-0.380615234375,-0.700927734375,-0.4600830078125,29.846189498901367,-221.13035583496094,204.16258239746094
-0.2027587890625,-0.6123046875,-0.405517578125,15.380858421325684,-219.36033630371094,186.76756286621094
-0.0865478515625,-0.5892333984375,-0.3941650390625,0.9155272841453552,-211.91404724121094,163.39109802246094
0.0206298828125,-0.531494140625,-0.353515625,-4.0283203125,-196.47215270996094,145.01953125
0.10009765625,-0.4874267578125,-0.2706298828125,-9.1552734375,-176.57469177246094,125.73241424560547
0.184326171875,-0.4171142578125,-0.176025390625,-3.234863042831421,-156.55517578125,105.46874237060547
0.34619140625,-0.3631591796875,-0.102783203125,5.0048828125,-133.85009765625,83.98436737060547
0.50048828125,-0.4168701171875,-0.1505126953125,8.1787109375,-112.48778533935547,66.83349609375
0.5758056640625,-0.3935546875,-0.039306640625,16.90673828125,-88.86717987060547,53.955074310302734
0.6552734375,-0.36083984375,0.0626220703125,8.36181640625,-63.781734466552734,37.59765625
0.7041015625,-0.438232421875,-0.006103515625,3.601073980331421,-43.395992279052734,27.038572311401367
0.7586669921875,-0.4354248046875,0.0330810546875,-6.835937023162842,-24.475095748901367,17.76123046875
0.7960205078125,-0.4503173828125,-0.0316162109375,-14.160155296325684,-7.751464366912842,12.145995140075684
0.797119140625,-0.4967041015625,-0.103759765625,-11.840819358825684,2.01416015625,7.934569835662842
0.7998046875,-0.4927978515625,-0.1077880859375,-11.779784202575684,5.676269054412842,3.967284917831421
0.8160400390625,-0.5185546875,-0.1962890625,-5.859374523162842,6.225585460662842,0.6713866591453552
0.82470703125,-0.5089111328125,-0.1856689453125,-1.4648436307907104,3.967284917831421,-0.8544921278953552
0.8118896484375,-0.5201416015625,-0.1751708984375,-3.845214605331421,4.33349609375,-1.03759765625
0.8287353515625,-0.513671875,-0.186279296875,-5.065917491912842,4.39453125,-0.8544921278953552
0.8250732421875,-0.48388671875,-0.1435546875,-5.126952648162842,4.82177734375,-2.685546636581421
0.81884765625,-0.454833984375,-0.0972900390625,-3.601073980331421,10.253905296325684,-7.080077648162842
0.801025390625,-0.455810546875,-0.1265869140625,0.4882812201976776,15.380858421325684,-11.047362327575684
0.771240234375,-0.4443359375,-0.1114501953125,3.356933355331421,22.583005905151367,-16.6015625
0.752197265625,-0.458984375,-0.1226806640625,8.1787109375,33.69140625,-23.864744186401367
0.737548828125,-0.373046875,-0.0443115234375,11.779784202575684,45.715328216552734,-35.400390625
0.703125,-0.4874267578125,-0.1661376953125,10.009765625,58.715816497802734,-44.494625091552734
0.6614990234375,-0.467529296875,-0.183837890625,7.385253429412842,68.54248046875,-53.649898529052734
0.62158203125,-0.404541015625,-0.0511474609375,0.7934569716453552,83.55712127685547,-68.359375
0.5531005859375,-0.59619140625,-0.2965087890625,-6.164550304412842,95.45897674560547,-78.67431640625
0.5201416015625,-0.4949951171875,-0.2572021484375,-5.493163585662842,100.83007049560547,-89.84374237060547
