aX,aY,aZ,gX,gY,gZ
-1.9688720703125,-0.420654296875,-0.402587890625,29.907224655151367,-68.115234375,137.8173828125
-1.8275146484375,-0.4334716796875,-0.354248046875,9.82666015625,-76.2939453125,148.86474609375
-1.481689453125,-0.4842529296875,-0.20361328125,19.8974609375,-68.4814453125,141.29638671875
-1.087646484375,-0.7772216796875,-0.3494873046875,13.610838890075684,-54.931636810302734,123.16893768310547
-0.7027587890625,-0.6951904296875,-0.386962890625,7.202147960662842,-54.504390716552734,105.59081268310547
-0.492919921875,-0.61865234375,-0.113525390625,4.5166015625,-45.532222747802734,79.2236328125
-0.3770751953125,-0.541015625,-0.1468505859375,9.70458984375,-26.733396530151367,77.0263671875
-0.16796875,-0.48046875,-0.1968994140625,1.0986328125,-21.667478561401367,34.912109375
-0.0924072265625,-0.36181640625,0.00244140625,-7.507323741912842,-13.488768577575684,1.7700194120407104
0.0037841796875,-0.3099365234375,-0.0289306640625,0.2441406100988388,-6.225585460662842,-9.33837890625
-0.01318359375,-0.4420166015625,-0.1448974609375,-0.7324218153953552,-2.38037109375,-9.765625
-0.14111328125,-0.3807373046875,-0.19482421875,-13.122557640075684,5.310058116912842,-1.4648436307907104
-0.2984619140625,-0.33740234375,-0.134033203125,-3.906249761581421,16.2353515625,5.493163585662842
-0.4129638671875,-0.4571533203125,-0.218994140625,-14.221190452575684,12.817381858825684,7.324218273162842
-0.4945068359375,-0.4892578125,-0.217041015625,-31.188962936401367,5.859374523162842,5.249022960662842
-0.5843505859375,-0.512451171875,-0.15185546875,-4.69970703125,0.9155272841453552,10.192870140075684
-0.6502685546875,-0.628662109375,-0.2784423828125,-8.30078125,-2.624511480331421,7.812499523162842
-0.7000732421875,-0.6455078125,-0.34521484375,-14.892577171325684,-5.187987804412842,4.150390625
-0.7562255859375,-0.627685546875,-0.284423828125,5.310058116912842,-2.563476324081421,4.57763671875
-0.75146484375,-0.6690673828125,-0.34033203125,-10.253905296325684,0.1831054538488388,-0.6103515625
-0.7841796875,-0.653564453125,-0.3006591796875,-12.268065452575684,1.3427733182907104,-4.33349609375
-0.7889404296875,-0.667724609375,-0.35546875,8.36181640625,5.0048828125,-4.39453125
-0.75439453125,-0.6788330078125,-0.2974853515625,-1.7700194120407104,6.835937023162842,-4.638671875
-0.7459716796875,-0.635009765625,-0.2398681640625,7.324218273162842,8.7890625,-4.638671875
-0.717041015625,-0.65576171875,-0.3238525390625,14.526366233825684,10.375975608825684,-3.417968511581421
-0.68701171875,-0.6431884765625,-0.305419921875,-4.21142578125,5.493163585662842,-5.920409679412842
-0.66455078125,-0.5810546875,-0.216796875,0.0610351525247097,6.225585460662842,-6.103515148162842
-0.6434326171875,-0.6177978515625,-0.2244873046875,8.97216796875,7.629394054412842,-4.69970703125
