left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_vis,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_vis,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_vis,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_vis,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_vis,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_vis,left_hip_x,left_hip_y,left_hip_z,left_hip_vis,right_hip_x,right_hip_y,right_hip_z,right_hip_vis,left_knee_x,left_knee_y,left_knee_z,left_knee_vis,right_knee_x,right_knee_y,right_knee_z,right_knee_vis,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_vis,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_vis,left_heel_x,left_heel_y,left_heel_z,left_heel_vis,right_heel_x,right_heel_y,right_heel_z,right_heel_vis,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_vis,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_vis
0.581245,0.403792,-0.129307,0.999903,0.465625,0.398203,-0.120021,0.999932,0.591671,0.516855,-0.086404,0.967977,0.449993,0.520552,-0.073827,0.960192,0.591123,0.620309,-0.20793,0.9011,0.457246,0.627688,-0.177878,0.887006,0.561761,0.642243,-0.010827,0.999628,0.490199,0.645982,0.010897,0.999691,0.588982,0.789783,-0.034581,0.98414,0.461927,0.790021,0.036963,0.986056,0.610656,0.954693,0.086389,0.973885,0.425903,0.946275,0.199945,0.981822,0.603059,0.972406,0.087536,0.810924,0.432942,0.971599,0.206664,0.876781,0.639526,0.996952,-0.061249,0.94409,0.386556,1.000411,0.070344,0.959026
0.581165,0.403801,-0.133279,0.999889,0.465533,0.398298,-0.12713,0.999936,0.591578,0.516292,-0.108134,0.964357,0.449977,0.521077,-0.086417,0.962699,0.590538,0.61859,-0.253867,0.885383,0.457449,0.627713,-0.202254,0.893819,0.561821,0.642406,-0.01155,0.999603,0.490278,0.646052,0.011618,0.999682,0.589242,0.791126,-0.025919,0.984514,0.461532,0.790503,0.04132,0.98659,0.61067,0.954727,0.102428,0.974315,0.426124,0.945945,0.204316,0.982233,0.603538,0.971954,0.104419,0.811627,0.434241,0.971899,0.211364,0.880028,0.639453,0.996517,-0.039713,0.9443,0.387676,1.000227,0.075225,0.95972
0.581067,0.403707,-0.108612,0.999851,0.46564,0.398485,-0.084321,0.999927,0.593096,0.513288,-0.109455,0.954158,0.449655,0.516774,-0.064911,0.953789,0.591275,0.609662,-0.262702,0.850133,0.458322,0.612906,-0.227334,0.877207,0.562837,0.642407,-0.014657,0.999567,0.49122,0.646711,0.01476,0.999669,0.589906,0.792104,-0.033683,0.984859,0.460584,0.79116,0.029455,0.987594,0.611833,0.9558,0.083538,0.975893,0.425755,0.947216,0.172417,0.983708,0.603714,0.973839,0.084086,0.820043,0.434188,0.973253,0.176697,0.886531,0.644728,0.99915,-0.063477,0.948043,0.387029,1.000989,0.042654,0.962613
0.58086,0.403453,-0.01198,0.9998,0.465814,0.399019,0.007013,0.999845,0.595259,0.503661,-0.069214,0.941307,0.448569,0.50984,-0.059723,0.930134,0.592041,0.552361,-0.277414,0.833174,0.457926,0.550931,-0.314804,0.854994,0.562334,0.642817,-0.007773,0.999487,0.491209,0.647026,0.007977,0.999578,0.592033,0.796167,-0.02745,0.984483,0.457764,0.793048,0.001609,0.987977,0.613073,0.961505,0.097673,0.975011,0.424199,0.949311,0.154011,0.983604,0.604462,0.97762,0.099351,0.824223,0.429142,0.973207,0.159084,0.876869,0.647605,0.999717,-0.056998,0.946077,0.387036,1.002074,0.016764,0.960608
0.577292,0.402236,0.00894,0.999609,0.466456,0.398466,-0.001441,0.999791,0.596758,0.506182,-0.110022,0.926041,0.446755,0.510433,-0.121461,0.931681,0.59054,0.488955,-0.394694,0.84183,0.469491,0.472562,-0.399975,0.885831,0.561822,0.643777,-0.00383,0.999289,0.490757,0.647657,0.004039,0.999456,0.592648,0.795299,-0.005275,0.981825,0.45705,0.79378,0.00379,0.988833,0.614266,0.961591,0.124774,0.969557,0.420623,0.957287,0.166968,0.983713,0.604037,0.9778,0.127838,0.831835,0.421927,0.975706,0.176142,0.872463,0.6495,0.999979,-0.012915,0.939773,0.383776,1.004438,0.034501,0.960025
0.576793,0.402183,-0.001646,0.998921,0.467218,0.397444,-0.033431,0.999732,0.604064,0.506511,-0.170078,0.92392,0.4453,0.509524,-0.205162,0.939545,0.583372,0.445354,-0.443237,0.847781,0.484256,0.43249,-0.462433,0.912614,0.56151,0.643791,-0.001393,0.999106,0.490883,0.64764,0.001573,0.99934,0.59346,0.798936,0.001697,0.978859,0.457082,0.794882,0.042616,0.988015,0.615863,0.962353,0.125138,0.965015,0.420688,0.958202,0.226677,0.982846,0.604991,0.979447,0.128532,0.841442,0.425496,0.976013,0.23725,0.873357,0.651268,1.000805,-0.010405,0.938127,0.383408,1.005161,0.09938,0.959426
0.576794,0.402079,-0.000349,0.998197,0.467676,0.39681,-0.039137,0.99968,0.6051,0.505567,-0.16233,0.916857,0.445261,0.509222,-0.204293,0.944148,0.581662,0.444194,-0.42524,0.832643,0.482897,0.433765,-0.462247,0.928714,0.561128,0.643907,-0.001008,0.998981,0.490927,0.647603,0.001181,0.999238,0.591381,0.795339,0.004863,0.974443,0.459259,0.794526,0.053374,0.985904,0.614106,0.960111,0.125907,0.956302,0.423717,0.956615,0.238858,0.979983,0.603453,0.978244,0.129087,0.838314,0.429556,0.975509,0.249938,0.867227,0.649089,1.00046,-0.005149,0.928577,0.384681,1.005769,0.117408,0.954446
0.576621,0.401188,0.003375,0.998308,0.468325,0.397185,-0.012895,0.999703,0.601247,0.509266,-0.126709,0.912732,0.4467,0.510771,-0.134793,0.946335,0.584127,0.4736,-0.393165,0.831503,0.470121,0.482727,-0.403212,0.940547,0.560943,0.6439,-0.003343,0.998945,0.490728,0.647068,0.003505,0.999225,0.592125,0.798309,-0.014717,0.975337,0.457356,0.795771,0.014839,0.986932,0.614483,0.962692,0.112454,0.958014,0.420716,0.958969,0.182304,0.980998,0.604403,0.979045,0.115409,0.842423,0.426699,0.976301,0.191073,0.870399,0.647955,1.000731,-0.031585,0.931156,0.384418,1.007055,0.05151,0.956604
0.57943,0.401856,-0.038957,0.998679,0.467232,0.398649,-0.028396,0.999681,0.599571,0.496705,-0.066277,0.896815,0.447255,0.507769,-0.043585,0.921301,0.601394,0.566306,-0.255642,0.795596,0.452233,0.581966,-0.215458,0.890695,0.561393,0.644614,-0.00387,0.998953,0.491026,0.64841,0.004053,0.999222,0.593108,0.792179,-0.01377,0.97683,0.457603,0.7957,-0.002925,0.987531,0.614258,0.960332,0.114131,0.962138,0.422235,0.95569,0.138301,0.982048,0.603909,0.978237,0.116167,0.841969,0.42772,0.976834,0.142422,0.867647,0.649922,1.000534,-0.031138,0.933661,0.385807,1.005864,0.000701,0.957304
0.580072,0.401642,-0.119739,0.999068,0.466028,0.399348,-0.115746,0.999758,0.599205,0.501059,-0.086506,0.912868,0.447709,0.517108,-0.078912,0.930607,0.60027,0.610697,-0.249641,0.807106,0.452097,0.619061,-0.202587,0.885679,0.562865,0.644346,-0.005943,0.999121,0.490948,0.648902,0.006038,0.999342,0.593367,0.79118,-0.015489,0.978474,0.459316,0.795838,0.021446,0.987798,0.613742,0.955676,0.111059,0.964512,0.427355,0.948001,0.161998,0.9824,0.604172,0.975014,0.113234,0.830668,0.43449,0.975517,0.168731,0.870024,0.648565,1.000231,-0.02829,0.934033,0.38553,1.004306,0.032257,0.957576
