left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_vis,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_vis,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_vis,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_vis,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_vis,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_vis,left_hip_x,left_hip_y,left_hip_z,left_hip_vis,right_hip_x,right_hip_y,right_hip_z,right_hip_vis,left_knee_x,left_knee_y,left_knee_z,left_knee_vis,right_knee_x,right_knee_y,right_knee_z,right_knee_vis,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_vis,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_vis,left_heel_x,left_heel_y,left_heel_z,left_heel_vis,right_heel_x,right_heel_y,right_heel_z,right_heel_vis,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_vis,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_vis
0.60612,0.362886,0.004844,0.999881,0.501205,0.369676,-0.016747,0.999932,0.627206,0.470122,-0.123631,0.973365,0.469944,0.479361,-0.127368,0.984967,0.644178,0.383479,-0.388358,0.985021,0.45268,0.392356,-0.400705,0.99504,0.582422,0.597752,0.008574,0.999428,0.516042,0.593836,-0.008521,0.999404,0.61734,0.759281,-0.023015,0.879775,0.482608,0.754564,-0.049799,0.922351,0.610688,0.92435,0.077434,0.795977,0.468681,0.924676,0.064335,0.854975,0.598632,0.944377,0.079702,0.60363,0.472619,0.942566,0.069316,0.575358,0.657151,0.984083,-0.049579,0.762102,0.449747,0.973073,-0.066795,0.794514
0.604166,0.411612,-0.015291,0.99985,0.497819,0.411124,-0.066081,0.999923,0.624919,0.514224,-0.158573,0.97218,0.464842,0.512296,-0.197898,0.988134,0.642332,0.434726,-0.451831,0.986985,0.45289,0.430417,-0.452963,0.995915,0.580483,0.642361,0.020299,0.999368,0.51185,0.640488,-0.020176,0.999391,0.638116,0.777739,-0.15938,0.908083,0.467118,0.780609,-0.181832,0.944495,0.616595,0.922524,-0.002072,0.833081,0.457552,0.92179,-0.031879,0.886571,0.600954,0.942767,0.007526,0.673147,0.464247,0.942212,-0.022755,0.632454,0.65841,0.980971,-0.109633,0.79816,0.447962,0.978992,-0.154355,0.830025
0.604902,0.490441,0.008552,0.999861,0.49744,0.488437,0.01752,0.999928,0.623271,0.584545,-0.09476,0.972244,0.463092,0.589183,-0.093218,0.990016,0.637825,0.508895,-0.270693,0.985672,0.452146,0.516671,-0.298661,0.996143,0.578,0.68539,0.012497,0.99936,0.503478,0.683483,-0.01248,0.999325,0.649946,0.792832,-0.256013,0.928543,0.444761,0.800292,-0.209047,0.956237,0.628888,0.939983,-0.083246,0.83787,0.449171,0.939171,-0.05655,0.889995,0.612866,0.955514,-0.069138,0.691766,0.455316,0.95173,-0.04324,0.643117,0.660264,0.992241,-0.170204,0.791065,0.439228,1.00376,-0.15351,0.821257
0.601134,0.56594,-0.046464,0.999837,0.497602,0.5607,-0.086005,0.999908,0.630824,0.631035,-0.07824,0.958545,0.465048,0.629469,-0.075292,0.984169,0.642764,0.581105,-0.212332,0.963998,0.454464,0.603832,-0.172226,0.986677,0.576384,0.717067,0.012078,0.999305,0.50374,0.716589,-0.012003,0.999344,0.646746,0.793776,-0.259795,0.946103,0.449863,0.804441,-0.300334,0.967503,0.62684,0.933468,-0.117974,0.86846,0.452118,0.933942,-0.157316,0.916752,0.609665,0.954314,-0.107547,0.759233,0.459845,0.950199,-0.146302,0.71264,0.660957,0.990609,-0.200766,0.827092,0.43825,0.98572,-0.2575,0.859058
0.601306,0.597495,-0.084583,0.999848,0.500026,0.593129,-0.121018,0.999922,0.632775,0.654775,-0.023212,0.962147,0.469526,0.654636,-0.069411,0.980505,0.644368,0.630011,-0.087784,0.958622,0.455896,0.64776,-0.11188,0.9822,0.574811,0.733863,0.011895,0.99902,0.505607,0.729552,-0.011724,0.999214,0.645553,0.790491,-0.215349,0.9497,0.451731,0.776769,-0.301032,0.97058,0.626611,0.926509,-0.12114,0.870829,0.456963,0.910963,-0.179588,0.928722,0.610227,0.951975,-0.11746,0.804036,0.465978,0.932789,-0.171472,0.77453,0.662368,0.984702,-0.206071,0.821862,0.438989,0.965566,-0.277907,0.871502
0.600875,0.583349,-0.098287,0.999882,0.49904,0.583651,-0.146334,0.999943,0.634304,0.654785,-0.138947,0.965972,0.470281,0.65542,-0.136233,0.981202,0.644904,0.616339,-0.241679,0.952107,0.456675,0.633942,-0.207836,0.981598,0.57307,0.728383,0.01177,0.999137,0.504502,0.726042,-0.011514,0.999316,0.637115,0.78487,-0.279594,0.957241,0.455892,0.773344,-0.323477,0.975163,0.626384,0.927425,-0.173039,0.883694,0.459291,0.916409,-0.197121,0.940257,0.611024,0.950712,-0.166835,0.845154,0.466717,0.937793,-0.188319,0.823264,0.661858,0.98726,-0.269327,0.83821,0.443399,0.975279,-0.304797,0.887872
0.600069,0.504007,-0.024046,0.999907,0.496862,0.498621,-0.054758,0.999952,0.618532,0.599584,-0.110352,0.969022,0.466597,0.597509,-0.072057,0.983111,0.644606,0.542901,-0.323557,0.958272,0.453457,0.538706,-0.176283,0.984185,0.572187,0.681143,0.006468,0.999238,0.50111,0.678145,-0.00626,0.999388,0.629876,0.780818,-0.296857,0.966821,0.453208,0.779545,-0.303651,0.981117,0.624721,0.929019,-0.152298,0.905911,0.456138,0.932261,-0.176649,0.955071,0.610961,0.951718,-0.14314,0.871961,0.464848,0.952623,-0.165263,0.858112,0.658466,0.989764,-0.262182,0.868554,0.441731,0.98796,-0.29983,0.912645
0.599562,0.427909,-0.048939,0.999897,0.494454,0.418462,-0.056622,0.999948,0.618766,0.525063,-0.214378,0.972446,0.459869,0.519517,-0.193855,0.98578,0.641115,0.448689,-0.51449,0.967332,0.448999,0.436435,-0.481163,0.988169,0.571201,0.643917,0.007431,0.999344,0.4994,0.645517,-0.007422,0.999491,0.620014,0.786529,-0.077277,0.974771,0.459492,0.79576,-0.150282,0.985955,0.623775,0.934283,0.09104,0.928145,0.453221,0.937324,0.03859,0.964941,0.610977,0.955986,0.099093,0.879944,0.46288,0.95629,0.050637,0.863655,0.660243,0.991645,-0.042217,0.896292,0.438992,0.981694,-0.092745,0.929532
0.601618,0.373063,0.005859,0.999884,0.493111,0.370662,0.018587,0.999931,0.61811,0.480264,-0.14413,0.978043,0.460071,0.48339,-0.098924,0.984072,0.640902,0.391866,-0.422827,0.9769,0.449056,0.387929,-0.392781,0.990354,0.573315,0.606342,0.000815,0.999276,0.50495,0.604186,-0.000784,0.999489,0.612611,0.776245,-0.002561,0.976335,0.475752,0.773453,-0.045251,0.988342,0.617581,0.931167,0.12475,0.939987,0.456565,0.936519,0.103711,0.971463,0.606156,0.953934,0.129243,0.86966,0.464741,0.955052,0.111344,0.871916,0.653445,0.986829,-0.008787,0.912829,0.441308,0.979911,-0.02751,0.941706
0.603949,0.359081,0.007273,0.999878,0.494684,0.362949,0.016163,0.999931,0.622308,0.471376,-0.123179,0.979399,0.461603,0.479327,-0.090101,0.982451,0.641994,0.374316,-0.374271,0.982145,0.449155,0.38017,-0.360355,0.991801,0.576584,0.599765,0.004373,0.999278,0.511918,0.594429,-0.004313,0.999466,0.595163,0.769726,-0.002894,0.96165,0.491157,0.767099,-0.004033,0.981301,0.614514,0.933146,0.114563,0.922366,0.464967,0.939898,0.141699,0.958816,0.60542,0.953746,0.118784,0.820059,0.465948,0.957067,0.149199,0.807619,0.653233,0.987168,-0.019207,0.896686,0.451504,0.987286,0.004934,0.924413
