left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_vis,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_vis,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_vis,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_vis,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_vis,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_vis,left_hip_x,left_hip_y,left_hip_z,left_hip_vis,right_hip_x,right_hip_y,right_hip_z,right_hip_vis,left_knee_x,left_knee_y,left_knee_z,left_knee_vis,right_knee_x,right_knee_y,right_knee_z,right_knee_vis,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_vis,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_vis,left_heel_x,left_heel_y,left_heel_z,left_heel_vis,right_heel_x,right_heel_y,right_heel_z,right_heel_vis,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_vis,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_vis
0.562321,0.520171,0.065156,0.999586,0.453447,0.505999,-0.013106,0.999202,0.599444,0.62375,-0.075909,0.994552,0.413124,0.615584,-0.219981,0.997296,0.619221,0.523218,-0.267627,0.997385,0.442084,0.503697,-0.446597,0.999029,0.533968,0.755548,0.017587,0.999083,0.463307,0.747534,-0.017227,0.99875,0.527398,0.925455,-0.050891,0.485801,0.459267,0.921395,-0.059059,0.457374,0.50692,1.089787,0.162143,0.014102,0.459676,1.084889,0.116201,0.019857,0.503485,1.105716,0.178937,0.019792,0.458533,1.10391,0.131953,0.029285,0.502196,1.148505,0.081907,0.00658,0.461008,1.140679,0.016375,0.011651
0.56268,0.519806,0.045558,0.999465,0.453793,0.505846,0.005442,0.999181,0.607614,0.611424,-0.120956,0.994279,0.411641,0.601116,-0.207293,0.996753,0.618713,0.513809,-0.299175,0.99686,0.44051,0.479958,-0.414267,0.998799,0.534403,0.754845,0.008536,0.999067,0.464134,0.747,-0.008254,0.998779,0.526584,0.92644,-0.064488,0.477952,0.459569,0.921075,-0.057807,0.469966,0.50538,1.076633,0.154885,0.014646,0.459012,1.073573,0.101228,0.02307,0.501988,1.091851,0.173398,0.020697,0.458347,1.09173,0.114675,0.031625,0.499873,1.135488,0.084184,0.007058,0.45829,1.130154,0.011867,0.013258
0.56428,0.514949,0.036166,0.999167,0.453952,0.501736,0.011573,0.999109,0.631784,0.573086,-0.132208,0.994992,0.397925,0.537583,-0.162487,0.997134,0.620902,0.464712,-0.299584,0.995372,0.436093,0.428622,-0.310431,0.998418,0.534314,0.754999,0.000984,0.998921,0.46369,0.74638,-0.000851,0.998761,0.523801,0.94014,-0.057456,0.475977,0.459388,0.929277,-0.028742,0.486425,0.505737,1.103464,0.11987,0.015303,0.454816,1.096883,0.125311,0.025908,0.503808,1.123721,0.131332,0.020418,0.455131,1.119107,0.137966,0.033859,0.497988,1.15693,0.017061,0.007348,0.450132,1.150862,0.017311,0.01471
0.564478,0.508823,0.00631,0.999031,0.45241,0.502081,-0.032027,0.999175,0.643076,0.513627,-0.19467,0.995832,0.389141,0.465555,-0.278722,0.99775,0.621569,0.398393,-0.35346,0.99312,0.437153,0.363764,-0.426515,0.996884,0.535889,0.760801,-0.010349,0.997929,0.469133,0.755449,0.010508,0.998127,0.523074,0.965833,-0.04427,0.462205,0.46469,0.949533,-0.011413,0.449037,0.507811,1.11968,0.186381,0.023576,0.455938,1.121615,0.153176,0.038298,0.506949,1.138738,0.203577,0.030044,0.458404,1.144721,0.164999,0.051665,0.500134,1.174751,0.090388,0.014015,0.443433,1.175705,0.034546,0.025715
0.561914,0.501123,0.053974,0.999125,0.452518,0.49549,-0.018707,0.999226,0.640683,0.45649,-0.137559,0.996187,0.401023,0.414908,-0.270716,0.998066,0.622146,0.362602,-0.255688,0.989826,0.455026,0.314043,-0.356664,0.993263,0.53594,0.754297,0.003597,0.997973,0.470658,0.749643,-0.003497,0.998205,0.519962,0.952314,-0.025271,0.442687,0.46574,0.939538,-0.02819,0.421379,0.501526,1.085553,0.215334,0.030812,0.450769,1.092821,0.160374,0.045235,0.497695,1.100448,0.234556,0.040841,0.450761,1.111618,0.174494,0.05683,0.497524,1.135231,0.128656,0.020024,0.442455,1.143318,0.052571,0.033
0.558277,0.498144,0.137664,0.999198,0.454704,0.493868,0.079141,0.999178,0.626036,0.421443,0.047825,0.995328,0.426273,0.38668,-0.042009,0.997271,0.621714,0.324346,0.03918,0.983251,0.466694,0.279413,-0.002833,0.982694,0.535431,0.752931,0.003589,0.998231,0.471901,0.749577,-0.003423,0.998359,0.519935,0.94872,-0.060467,0.420555,0.467888,0.939425,-0.020221,0.384749,0.500642,1.078436,0.203612,0.036616,0.455177,1.079193,0.173973,0.053866,0.496357,1.092148,0.224592,0.049376,0.45599,1.097058,0.189732,0.062456,0.497781,1.129309,0.123268,0.025298,0.446799,1.133396,0.072356,0.042752
0.558636,0.485339,0.073806,0.999236,0.455099,0.482275,-0.034017,0.999077,0.615549,0.39124,0.038567,0.989927,0.443773,0.359147,-0.171904,0.996394,0.622257,0.288268,0.019486,0.971684,0.477879,0.244834,-0.157442,0.97777,0.535712,0.739237,0.011958,0.998334,0.472684,0.738629,-0.011558,0.998244,0.520721,0.908327,-0.000804,0.385398,0.47064,0.910037,-0.060026,0.355505,0.499845,1.032227,0.285661,0.039902,0.462298,1.028934,0.2364,0.055693,0.496265,1.043775,0.31014,0.054412,0.463442,1.038924,0.261637,0.067406,0.494011,1.082205,0.219321,0.02808,0.454338,1.076879,0.158913,0.045165
0.559132,0.477222,0.072486,0.999193,0.454655,0.472592,-0.07507,0.998957,0.609939,0.373884,0.05793,0.978497,0.456621,0.349364,-0.238418,0.995916,0.625684,0.269775,0.013137,0.955927,0.484403,0.233727,-0.253409,0.977409,0.537298,0.738352,0.022105,0.998413,0.47314,0.738059,-0.021652,0.998177,0.522369,0.912428,-0.011666,0.356722,0.471439,0.912467,-0.091097,0.35495,0.498354,1.029577,0.313713,0.039202,0.461786,1.011473,0.246646,0.054503,0.494516,1.036787,0.343806,0.053678,0.46252,1.015924,0.276512,0.070261,0.489031,1.081055,0.261329,0.029033,0.460495,1.034513,0.182264,0.046283
0.558814,0.481591,0.090419,0.999242,0.453808,0.477765,-0.094838,0.998883,0.613477,0.383542,0.064867,0.972969,0.450654,0.359717,-0.315181,0.995861,0.623706,0.278726,0.036917,0.951463,0.484597,0.25113,-0.366605,0.979144,0.542133,0.752507,0.033607,0.998555,0.47667,0.756801,-0.0332,0.998173,0.524709,0.920096,-0.006638,0.366701,0.474342,0.934259,-0.088422,0.356578,0.500843,1.029438,0.34479,0.040295,0.466281,0.979646,0.288431,0.05041,0.495623,1.032782,0.378066,0.056474,0.464451,0.982561,0.323079,0.072636,0.493023,1.085752,0.30221,0.030919,0.464794,0.990223,0.244223,0.045261
0.557312,0.501156,0.083508,0.999117,0.452136,0.496467,-0.016666,0.998898,0.629533,0.467095,-0.153452,0.977383,0.411389,0.427411,-0.31031,0.9954,0.620183,0.349806,-0.319273,0.952788,0.461764,0.328768,-0.428711,0.973234,0.541916,0.76682,0.022285,0.998288,0.474576,0.764503,-0.022062,0.998077,0.525029,0.945053,-0.046319,0.360448,0.471661,0.949499,-0.059394,0.328235,0.508813,1.097508,0.202542,0.040736,0.463243,1.102036,0.156188,0.050795,0.504985,1.11536,0.221988,0.058772,0.462243,1.11888,0.173233,0.067475,0.507912,1.148194,0.102973,0.031961,0.458759,1.155175,0.038884,0.045884
