left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_vis,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_vis,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_vis,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_vis,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_vis,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_vis,left_hip_x,left_hip_y,left_hip_z,left_hip_vis,right_hip_x,right_hip_y,right_hip_z,right_hip_vis,left_knee_x,left_knee_y,left_knee_z,left_knee_vis,right_knee_x,right_knee_y,right_knee_z,right_knee_vis,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_vis,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_vis,left_heel_x,left_heel_y,left_heel_z,left_heel_vis,right_heel_x,right_heel_y,right_heel_z,right_heel_vis,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_vis,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_vis
0.526002,0.489085,-0.147204,0.999924,0.417279,0.467397,-0.179796,0.999926,0.543831,0.589072,-0.095634,0.973659,0.385815,0.588643,-0.136458,0.983615,0.554357,0.687501,-0.241469,0.935547,0.387835,0.698838,-0.237482,0.946105,0.492895,0.708323,0.003499,0.996596,0.425154,0.708697,-0.003201,0.996906,0.495681,0.868611,-0.037191,0.84955,0.423017,0.866478,-0.002539,0.867332,0.496462,0.989799,0.15258,0.565207,0.424712,0.983249,0.186244,0.546368,0.493529,1.000766,0.162699,0.364196,0.433224,1.021254,0.198038,0.394143,0.51114,1.061106,0.029775,0.374938,0.423668,1.063321,0.051361,0.399463
0.525399,0.488201,-0.163447,0.999936,0.415134,0.469954,-0.19767,0.99992,0.542744,0.599509,-0.09556,0.980192,0.385958,0.591764,-0.154747,0.985211,0.549848,0.712209,-0.210157,0.953042,0.387898,0.702698,-0.254918,0.950639,0.497781,0.708779,0.002016,0.996758,0.42618,0.709339,-0.001774,0.996899,0.496006,0.868044,-0.00624,0.821089,0.423356,0.866846,0.002049,0.840359,0.495892,0.98984,0.218748,0.51467,0.427899,0.985857,0.19553,0.511785,0.493089,0.99661,0.233062,0.343691,0.438201,1.025768,0.207954,0.363957,0.511251,1.056361,0.103532,0.347701,0.426167,1.063603,0.061483,0.371135
0.525167,0.484569,-0.192879,0.999929,0.413533,0.472807,-0.208021,0.9999,0.541003,0.598124,-0.129539,0.983005,0.387995,0.593507,-0.150136,0.983374,0.544183,0.705,-0.240318,0.959082,0.388073,0.704905,-0.243137,0.944414,0.500054,0.705917,-0.005915,0.996734,0.428001,0.706322,0.006098,0.99687,0.496143,0.860476,-0.008512,0.803859,0.426722,0.86241,0.019847,0.828145,0.495043,0.982834,0.234942,0.498066,0.430562,0.977993,0.234945,0.502739,0.494622,0.989246,0.251231,0.333723,0.436558,0.992126,0.249714,0.347166,0.505355,1.045195,0.119113,0.348872,0.430068,1.051001,0.101037,0.368186
0.524331,0.481291,-0.158346,0.999929,0.412829,0.474198,-0.156857,0.99988,0.541756,0.592614,-0.095889,0.98441,0.388413,0.591121,-0.114017,0.981121,0.543975,0.699145,-0.217738,0.96373,0.386634,0.678374,-0.222507,0.941133,0.501991,0.703768,-0.004476,0.997155,0.431057,0.70558,0.004644,0.99721,0.496217,0.860924,0.00924,0.788661,0.430541,0.860497,0.014576,0.821073,0.490729,0.979694,0.264666,0.487943,0.434598,0.974652,0.251658,0.502229,0.48884,0.987641,0.283212,0.323065,0.43932,1.003064,0.264629,0.335259,0.495625,1.043331,0.15527,0.356449,0.434812,1.051657,0.122789,0.377629
0.523771,0.479387,-0.141791,0.999902,0.411216,0.478974,-0.106363,0.999595,0.542867,0.591762,-0.072636,0.984372,0.388264,0.594624,-0.10457,0.952226,0.543202,0.697958,-0.165505,0.961808,0.38677,0.614897,-0.295589,0.900687,0.503714,0.704821,-0.006439,0.997059,0.433538,0.706376,0.006602,0.996592,0.496225,0.867885,-0.041157,0.761391,0.433026,0.865658,-0.008192,0.795857,0.489548,0.980659,0.209766,0.463056,0.437419,0.976234,0.201921,0.491176,0.487024,0.988228,0.226575,0.31662,0.441518,0.99688,0.2167,0.314004,0.49252,1.050543,0.098994,0.348169,0.436093,1.06083,0.072646,0.370122
0.520986,0.475635,-0.114471,0.999861,0.411217,0.478902,-0.060167,0.999053,0.542906,0.586076,-0.06315,0.985204,0.390408,0.590915,-0.162715,0.923539,0.542665,0.696164,-0.130421,0.964269,0.387172,0.555132,-0.458083,0.887808,0.503793,0.697362,-0.014177,0.997154,0.43548,0.698618,0.01421,0.996324,0.497404,0.853452,-0.040045,0.762031,0.436861,0.854804,-0.0013,0.786029,0.491963,0.97858,0.205099,0.469752,0.440388,0.976478,0.200784,0.50885,0.488772,0.985789,0.221399,0.319888,0.446241,0.986881,0.214439,0.325155,0.492951,1.009915,0.09834,0.362662,0.432825,1.016735,0.080821,0.388933
0.519453,0.474865,-0.100872,0.999774,0.409042,0.483149,-0.067976,0.998272,0.543173,0.584566,-0.054512,0.98374,0.392652,0.606324,-0.191033,0.928663,0.542763,0.691873,-0.117832,0.964612,0.395235,0.524963,-0.467548,0.917427,0.505744,0.699977,-0.01235,0.997346,0.437612,0.700082,0.012379,0.996135,0.500888,0.860272,-0.051442,0.750765,0.438432,0.857099,0.005687,0.756054,0.499154,0.982959,0.196005,0.444182,0.440032,0.994646,0.203162,0.472968,0.497296,0.989401,0.212576,0.302392,0.444123,1.010663,0.218642,0.307899,0.504048,1.047619,0.089165,0.335707,0.430847,1.044969,0.088349,0.360423
0.519259,0.475002,-0.101282,0.999687,0.407439,0.486704,-0.065289,0.997433,0.544609,0.586563,-0.053779,0.982487,0.393109,0.613229,-0.201164,0.933498,0.542835,0.691562,-0.115584,0.965997,0.397408,0.527431,-0.491623,0.938889,0.50664,0.707863,-0.012074,0.997013,0.438328,0.708652,0.012106,0.995214,0.50034,0.873908,-0.066455,0.717252,0.438468,0.875284,0.001494,0.710626,0.498485,0.991511,0.20472,0.391344,0.438012,1.01324,0.230273,0.420732,0.496092,0.994162,0.223959,0.273895,0.442331,1.029982,0.248788,0.27797,0.501659,1.063489,0.103588,0.290717,0.42999,1.070242,0.11834,0.317282
0.519167,0.474856,-0.128491,0.999683,0.407746,0.48609,-0.081261,0.997527,0.544655,0.586366,-0.068236,0.983149,0.391579,0.607595,-0.195586,0.938171,0.543205,0.690692,-0.135576,0.968701,0.389206,0.544994,-0.5021,0.952675,0.506664,0.705653,-0.013325,0.997178,0.438544,0.707455,0.01335,0.995467,0.500207,0.86905,-0.060689,0.714505,0.438409,0.8696,-0.002017,0.70234,0.498414,0.989757,0.18748,0.388834,0.437928,1.004922,0.192231,0.41782,0.495587,0.993095,0.203519,0.271905,0.442449,1.022078,0.206595,0.279269,0.498663,1.058378,0.080792,0.289564,0.428312,1.061901,0.07042,0.315743
0.520347,0.475356,-0.131271,0.999736,0.408864,0.480779,-0.110177,0.998074,0.544336,0.586338,-0.072074,0.984371,0.386969,0.582447,-0.109084,0.929754,0.543471,0.694069,-0.178464,0.968792,0.373514,0.631274,-0.282953,0.93583,0.50584,0.702043,-0.006302,0.997289,0.436305,0.702522,0.00643,0.995778,0.499055,0.864918,-0.016445,0.734772,0.436431,0.862812,-0.008544,0.71785,0.492665,0.98874,0.198965,0.427559,0.438412,0.993191,0.187104,0.443644,0.489129,0.993006,0.209228,0.289211,0.443303,1.013135,0.201315,0.282635,0.492573,1.038958,0.069766,0.321823,0.433406,1.052585,0.057382,0.337254
