left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_vis,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_vis,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_vis,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_vis,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_vis,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_vis,left_hip_x,left_hip_y,left_hip_z,left_hip_vis,right_hip_x,right_hip_y,right_hip_z,right_hip_vis,left_knee_x,left_knee_y,left_knee_z,left_knee_vis,right_knee_x,right_knee_y,right_knee_z,right_knee_vis,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_vis,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_vis,left_heel_x,left_heel_y,left_heel_z,left_heel_vis,right_heel_x,right_heel_y,right_heel_z,right_heel_vis,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_vis,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_vis
0.419491,0.444222,0.191043,0.998565,0.391154,0.422763,-0.331571,0.999902,0.429319,0.65399,0.249179,0.504847,0.399935,0.656327,-0.387207,0.988787,0.451875,0.814147,0.152368,0.362287,0.465781,0.835295,-0.359254,0.934636,0.432958,0.856498,0.129754,0.96223,0.408349,0.860184,-0.128973,0.973714,0.458987,1.1303,0.172921,0.247544,0.41295,1.148283,-0.089327,0.420321,0.462458,1.380963,0.348814,0.069496,0.397659,1.424405,0.018863,0.157582,0.453035,1.422624,0.355275,0.125206,0.377404,1.474092,0.020311,0.255689,0.501756,1.44735,0.243911,0.128662,0.453281,1.483795,-0.156905,0.161981
0.41573,0.449217,0.220348,0.998302,0.393547,0.426017,-0.345093,0.999896,0.426562,0.659906,0.278178,0.486768,0.407721,0.661251,-0.403028,0.988065,0.461639,0.809416,0.172479,0.348725,0.48183,0.835706,-0.342826,0.936815,0.431798,0.8722,0.136657,0.96031,0.412978,0.879559,-0.135913,0.972697,0.46786,1.151273,0.198437,0.244141,0.4271,1.176098,-0.091672,0.429427,0.475307,1.408276,0.375875,0.067891,0.41056,1.463525,0.005949,0.161545,0.466412,1.451746,0.382129,0.119033,0.389499,1.516312,0.008087,0.258401,0.515072,1.472405,0.280381,0.12609,0.465992,1.519163,-0.171717,0.163624
0.396306,0.451333,0.235268,0.996419,0.398409,0.432459,-0.363635,0.999854,0.4049,0.659077,0.292639,0.348393,0.424948,0.672863,-0.387292,0.983127,0.472213,0.776176,0.187307,0.256447,0.522212,0.804243,-0.219813,0.920858,0.400853,0.866923,0.166174,0.92331,0.415745,0.877935,-0.165822,0.951923,0.432403,1.12404,0.274135,0.234651,0.432263,1.164343,-0.097201,0.480785,0.445674,1.383358,0.45603,0.077167,0.413489,1.443724,0.03601,0.21222,0.432677,1.430455,0.465778,0.134646,0.389864,1.495946,0.047098,0.323732,0.49921,1.428699,0.412226,0.132752,0.481563,1.481188,-0.060424,0.193792
0.388785,0.446737,0.243321,0.996303,0.403844,0.437915,-0.351657,0.999803,0.412437,0.643177,0.319931,0.285486,0.434959,0.668695,-0.362279,0.980064,0.528071,0.711893,0.233747,0.25607,0.571378,0.729876,-0.179681,0.912653,0.3984,0.857338,0.166893,0.906607,0.419961,0.875235,-0.16656,0.932791,0.432301,1.120958,0.281197,0.196646,0.437116,1.16297,-0.060497,0.492224,0.449158,1.379812,0.486357,0.071627,0.433893,1.445286,0.079429,0.231297,0.437922,1.429381,0.497811,0.12671,0.410531,1.499538,0.088817,0.356382,0.512916,1.415326,0.415507,0.143276,0.502622,1.473354,-0.049103,0.201433
0.391261,0.445501,0.277373,0.99533,0.400751,0.437232,-0.33754,0.999614,0.417233,0.639003,0.393967,0.244746,0.432457,0.640299,-0.349589,0.980551,0.528875,0.629469,0.31308,0.266328,0.566327,0.6041,-0.104746,0.919873,0.400725,0.859665,0.165975,0.876845,0.412558,0.871534,-0.165514,0.904384,0.428598,1.12151,0.264862,0.203539,0.422868,1.166917,-0.076268,0.501196,0.433947,1.372072,0.469607,0.071353,0.403477,1.445968,0.040597,0.240837,0.42164,1.417111,0.479569,0.115898,0.379272,1.501708,0.046827,0.370797,0.48387,1.411492,0.385092,0.148048,0.464736,1.47161,-0.107967,0.211495
0.394339,0.442049,0.264648,0.995813,0.400683,0.436757,-0.374131,0.999504,0.421978,0.628909,0.397341,0.232031,0.436653,0.618502,-0.328798,0.981622,0.519501,0.58982,0.289346,0.274695,0.554913,0.513232,0.017831,0.929844,0.399846,0.861217,0.168039,0.870542,0.40881,0.871396,-0.167396,0.893028,0.428725,1.132608,0.31259,0.263001,0.415263,1.168922,-0.052671,0.56595,0.428431,1.376493,0.515817,0.09558,0.397865,1.44744,0.083648,0.289509,0.415001,1.421068,0.525939,0.127788,0.374114,1.501132,0.092903,0.416607,0.479573,1.415305,0.42214,0.184852,0.458395,1.482006,-0.054971,0.249489
0.392573,0.441437,0.234406,0.995861,0.399192,0.436955,-0.30844,0.99929,0.429816,0.606863,0.375053,0.188069,0.44932,0.593092,-0.228615,0.977508,0.483217,0.562087,0.343911,0.239959,0.50175,0.470486,0.1466,0.915428,0.400439,0.853479,0.15509,0.889648,0.405533,0.864781,-0.154419,0.91028,0.424881,1.087389,0.272183,0.299246,0.427152,1.149422,-0.05275,0.620456,0.418896,1.32602,0.424125,0.126834,0.403147,1.404604,0.049827,0.342386,0.403425,1.369639,0.431776,0.165333,0.375879,1.448377,0.057304,0.473635,0.470015,1.36829,0.38485,0.209181,0.468437,1.452668,-0.053489,0.27992
0.392904,0.440627,0.227797,0.996169,0.397932,0.436975,-0.301538,0.99919,0.435715,0.587466,0.334923,0.160776,0.456978,0.588768,-0.198184,0.971008,0.471989,0.528148,0.32395,0.212995,0.501369,0.483939,0.22869,0.880879,0.403567,0.843828,0.144322,0.910705,0.402859,0.853525,-0.14367,0.92807,0.428994,1.080108,0.254153,0.315562,0.425643,1.136371,-0.05368,0.639913,0.416136,1.317731,0.434552,0.141958,0.394497,1.387009,0.065785,0.351642,0.400332,1.358409,0.443866,0.190417,0.368633,1.429506,0.075295,0.491328,0.458265,1.367438,0.377493,0.20835,0.446077,1.438492,-0.039497,0.277709
0.399505,0.441033,0.297638,0.996623,0.395452,0.4367,-0.367313,0.999357,0.426646,0.617806,0.41656,0.148986,0.440242,0.628874,-0.326191,0.97539,0.52689,0.571664,0.34775,0.222199,0.555357,0.581003,0.018421,0.894545,0.402839,0.865878,0.187075,0.9126,0.407248,0.871866,-0.186628,0.93319,0.43128,1.129633,0.311976,0.303361,0.442362,1.184158,-0.084401,0.674436,0.425328,1.381176,0.534935,0.140726,0.40851,1.471626,0.04617,0.395041,0.4097,1.428372,0.547433,0.186589,0.381581,1.527859,0.056163,0.525421,0.486739,1.422372,0.471019,0.219487,0.482772,1.511028,-0.083246,0.322114
0.390061,0.441645,0.278366,0.996734,0.398912,0.437064,-0.351354,0.999441,0.424955,0.632309,0.375869,0.156396,0.439082,0.662757,-0.373106,0.976495,0.550936,0.686535,0.290011,0.266337,0.580837,0.726194,-0.19739,0.908801,0.398278,0.864099,0.179632,0.904749,0.412859,0.870958,-0.179096,0.921667,0.423657,1.125834,0.298306,0.253619,0.437034,1.167185,-0.076704,0.633691,0.437647,1.382967,0.512494,0.113571,0.418245,1.455234,0.071124,0.36705,0.423887,1.431996,0.524892,0.15454,0.394792,1.513415,0.081504,0.503814,0.501552,1.418169,0.447363,0.197962,0.489281,1.478388,-0.047561,0.301196
